iter	RMSE
0	0.9534461236
1	0.9099369063
2	0.8693831943
3	0.8291204717
4	0.7925485791
5	0.7561225928
6	0.7221862508
7	0.6910791302
8	0.661519654
9	0.634027829
10	0.6073119603
11	0.5826934805
12	0.5575783563
13	0.5347183756
14	0.5130732236
15	0.4921926549
16	0.4734147861
17	0.4556329335
18	0.4389974466
19	0.4222391732
20	0.4054485646
21	0.3914946028
22	0.3778106416
23	0.3639971724
24	0.3508794372
25	0.3392279647
26	0.3280338711
27	0.3168606008
28	0.3061850153
29	0.2959823276
30	0.2876027258
31	0.2797331159
32	0.2715604664
33	0.2635854536
34	0.2562689804
35	0.2493098255
36	0.243452615
37	0.2375387301
38	0.2313208856
39	0.2253281338
40	0.2199170041
41	0.2150082107
42	0.2103097482
43	0.2059398181
44	0.201029162
45	0.1965833352
46	0.192416501
47	0.188751514
48	0.1849370124
49	0.1812804832
50	0.1777221782
51	0.1744755164
52	0.1711921581
53	0.1679957734
54	0.1655329804
55	0.1627659268
56	0.1600830229
57	0.1581119474
58	0.1558220067
59	0.1536079333
60	0.1513995036
61	0.1494975457
62	0.147562262
63	0.1456943375
64	0.1437798605
65	0.1422009878
66	0.1404819842
67	0.138971453
68	0.1376330656
69	0.1356190326
70	0.1343548283
71	0.13300378
72	0.1317837339
73	0.1305886702
74	0.1292606768
75	0.1283132744
76	0.1272963354
77	0.1259900119
78	0.1251271017
79	0.1239401656
80	0.1227645992
81	0.1219267041
82	0.1211207996
83	0.1203193581
84	0.1193489152
85	0.11851029
86	0.1176792598
87	0.1167470347
88	0.1162089008
89	0.1155128052
90	0.1149649319
91	0.1143727055
92	0.1138255645
93	0.1134089769
94	0.1126275244
95	0.1118917732
96	0.1114153566
97	0.1105061271
98	0.1098573599
99	0.1093480267
100	0.1089633446
101	0.1084528596
102	0.1079574103
103	0.1075861021
104	0.1072238119
105	0.1069046518
106	0.1065416422
107	0.1063070252
108	0.1060314922
109	0.1057247041
110	0.1053545934
111	0.1050080656
112	0.1047316582
113	0.1044935517
114	0.1040605462
115	0.1039079356
116	0.1037406162
117	0.1034750631
118	0.1032029635
119	0.1026702455
120	0.1022676399
121	0.102065644
122	0.1019037911
123	0.1016769635
124	0.1014519053
125	0.1012112031
126	0.1010131328
127	0.1008220925
128	0.1006556739
129	0.1004918393
130	0.1003538688
131	0.1000724758
132	0.09988254319
133	0.09961156311
134	0.09943922356
135	0.09920506219
136	0.09909178093
137	0.09889801769
138	0.09872882168
139	0.09855257118
140	0.09842593087
141	0.09829389009
142	0.09814701652
143	0.09803535252
144	0.09780650362
145	0.09770812381
146	0.09752976032
147	0.09732422222
148	0.09709747717
149	0.09698428782
150	0.09685738781
151	0.09665676196
152	0.09656532754
